split	source	reference	greedy	beam
uqa_valid	پیچیدگی کے نظریہ میں استعمال ہونے والے دیگر <ans> پیچیدگی </ans> کے اقدامات میں مواصلات کی پیچیدگی ، سرکٹ پیچیدگی ، اور فیصلے کے درخت کی پیچیدگی شامل ہیں۔	مواصلات کی پیچیدگی کس قسم کی پیمائش کی ایک مثال ہے؟	مواصلات کے نظریہ میں، کس قسم کی مواصلات میں مواصلات کی کمی کا استعمال کیا گیا ہے؟	کس سال میں مواصلات کے نوجوانوں کے لئے استعمال کیا گیا تھا؟
uqa_valid	<ans> پیچیدگی کے اقدامات </ans> کو بلوم پیچیدگی کے اصولوں کے ذریعہ بہت عام طور پر بیان کیا جاتا ہے۔	فیصلہ درخت کس قسم کی پیمائش کی ایک مثال ہے؟	بلوم بل کے اصولوں کے لئے عام طور پر کیا بیان کیا جاتا ہے؟	بلوم بل کے اصولوں کو کس طرح بیان کیا جاتا ہے؟
uqa_valid	پیچیدگی کے نظریہ میں استعمال ہونے والے دیگر <ans> پیچیدگی کے اقدامات </ans> میں مواصلات کی پیچیدگی ، سرکٹ پیچیدگی ، اور فیصلے کے درخت کی پیچیدگی شامل ہیں۔	فیصلہ درخت کس قسم کی پیمائش کی ایک مثال ہے؟	مواصلات کے نظریہ میں، کس قسم کی مواصلات کی پیچیدگیوں کی پیچیدگیوں کی پیچیدگیوں کی پیچیدگیوں کی پیچیدگیوں کی حمایت کرتی ہے؟	کس سال میں مواصلات کی طرف سے استعمال کیا گیا تھا؟
uqa_valid	پیچیدگی کے نظریہ میں استعمال ہونے والے دیگر پیچیدگی کے اقدامات میں مواصلات کی پیچیدگی ، سرکٹ پیچیدگی ، اور فیصلے کے درخت <ans> پیچیدگی </ans> شامل ہیں۔	فیصلہ درخت کس قسم کی پیمائش کی ایک مثال ہے؟	ایک سلفہ کے بجائے، ایک اور لفظ کیا ہے جو تکنیکی تبدیلیوں کے بجائے استعمال کیا جاتا ہے؟	بجلی کے نظریہ کے علاوہ، کون سا پہلو تناسب کی حمایت کے لئے استعمال کیا جا سکتا ہے؟
uqa_valid	<ans> بہترین ، بدترین اور اوسط </ans> کیس کی پیچیدگی ایک ہی سائز کے مختلف ان پٹ کی وقت کی پیچیدگی (یا کسی دوسرے پیچیدگی کی پیمائش) کی پیمائش کرنے کے تین مختلف طریقوں کا حوالہ دیتی ہے۔	کیس کی پیچیدگی کی نمائندگی کرنے کے لئے استعمال ہونے والے تین بنیادی اظہار کیا ہیں؟	کون سے تین مختلف تین مختلف سائز مختلف پیمائش کی پیمائش کرتے ہیں؟	کون سی تین پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کرتی ہے؟
uqa_valid	<ans> بہترین ، بدترین اور اوسط کیس </ans> پیچیدگی ایک ہی سائز کے مختلف ان پٹ کی وقت کی پیچیدگی (یا کسی دوسرے پیچیدگی کی پیمائش) کی پیمائش کرنے کے تین مختلف طریقوں کا حوالہ دیتی ہے۔	کیس کی پیچیدگی کی نمائندگی کرنے کے لئے استعمال ہونے والے تین بنیادی اظہار کیا ہیں؟	کون سے دو مختلف سائز مختلف وقت مختلف پیمائش کی پیمائش دیتے ہیں؟	کون سے دو مختلف سائز مختلف پیمائش کی پیمائش دیتے ہیں؟
uqa_valid	<ans> بہترین ، بدترین اور اوسط کیس پیچیدگی </ans> ایک ہی سائز کے مختلف ان پٹ کی وقت کی پیچیدگی (یا کسی دوسرے پیچیدگی کی پیمائش) کی پیمائش کرنے کے تین مختلف طریقوں کا حوالہ دیتے ہیں۔	کیس کی پیچیدگی کی نمائندگی کرنے کے لئے استعمال ہونے والے تین بنیادی اظہار کیا ہیں؟	مختلف سائز کے پیمائش کی پیمائش کرنے پیمائش مختلف پیمائش کے پیمائش مختلف طریقوں کے مختلف طریقوں کو مختلف طریقوں سے مختلف مختلف طریقوں کے لئے مختلف طریقوں کے تین مختلف طریقوں کا حوالہ دیتے ہیں؟	ایک ہی وقت کی پیمائش کے پیمائش مختلف پیمائش کی پیمائش کرنے کے لئے مختلف طریقے کیا پیمائش کرتے ہیں؟
uqa_valid	بہترین ، بدترین اور اوسط کیس کی پیچیدگی ایک ہی سائز کے مختلف ان پٹ کی وقت کی پیچیدگی (یا کسی دوسرے <ans> پیچیدگی کی پیمائش </ans> ) کی پیمائش کے تین مختلف طریقوں کا حوالہ دیتی ہے۔	کیس کی پیچیدگی کے امکانات کس عام پیمائش کے متغیر امکانات فراہم کرتے ہیں؟	کیا پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش	کیا پیمائش کی پیمائش کی پیمائش پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کرتا ہے؟
uqa_valid	بہترین ، بدترین اور اوسط کیس کی پیچیدگی ایک ہی سائز کے مختلف ان پٹ کی وقت کی پیچیدگی (یا کسی دوسرے <ans> پیچیدگی </ans> کی پیمائش) کی پیمائش کے تین مختلف طریقوں کا حوالہ دیتی ہے۔	کیس کی پیچیدگی کے امکانات کس عام پیمائش کے متغیر امکانات فراہم کرتے ہیں؟	کس پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش کی پیمائش	کون سا پیمائش پیمائش کی پیمائش کی پیمائش کرتا ہے؟
uqa_valid	بہترین ، بدترین اور اوسط کیس پیچیدگی ایک ہی سائز کے مختلف ان پٹ کی <ans> وقت </ans> پیچیدگی (یا کسی دوسرے پیچیدگی کی پیمائش) کی پیمائش کرنے کے تین مختلف طریقوں کا حوالہ دیتی ہے۔	ایک اہم پیچیدگی کی پیمائش کی ایک عام مثال کیا ہے؟	کیا مختلف یا مختلف پیمائش کی پیمائش مختلف ہے؟	کس قسم کی پیمائش کی پیمائش کی پیمائش کی پیمائش کرتی ہے؟
uqa_valid	بہترین ، بدترین اور اوسط کیس کی پیچیدگی ایک ہی سائز کے مختلف ان پٹ کی <ans> وقت کی پیچیدگی </ans> (یا کسی دوسرے پیچیدگی کی پیمائش) کی پیمائش کے تین مختلف طریقوں کا حوالہ دیتی ہے۔	ایک اہم پیچیدگی کی پیمائش کی ایک عام مثال کیا ہے؟	کیا پیمائش کی پیمائش مختلف پیمائش کی پیمائش کی پیمائش کی پیمائش کرتی ہے؟	کیا پیمائش کی پیمائش کی پیمائش مختلف ہے؟
uqa_valid	بہترین ، بدترین اور اوسط کیس کی پیچیدگی ایک ہی سائز کے مختلف <ans> ان پٹ </ans> کی وقت کی پیچیدگی (یا کسی دوسرے پیچیدگی کی پیمائش) کی پیمائش کرنے کے تین مختلف طریقوں کا حوالہ دیتی ہے۔	کیس کی پیچیدگیاں کس مختلف متغیر کے تین امکانات فراہم کرتی ہیں جو ایک ہی سائز میں رہتا ہے؟	کیا مختلف وقت کی پیمائش کی پیمائش مختلف ہے؟	کس قسم کی پیمائش کی پیمائش کی پیمائش کی پیمائش کرتی ہے؟
uqa_valid	مثال کے طور پر ، <ans> حتمی ترتیب دینے والے الگورتھم کوئکسورٹ </ans> پر غور کریں۔	ان پٹ کے طور پر فراہم کردہ انٹیجرز کی ایک فہرست کا حل کیا فراہم کرتا ہے جسے ترتیب دیا جانا چاہئے؟	سرکسنیشن کے لئے کیا غور کیا گیا تھا؟	کس چیز پر غور کیا گیا تھا؟
uqa_valid	مثال کے طور پر ، تعیناتی ترتیب دینے والے الگورتھم <ans> کویکسورٹ </ans> پر غور کریں۔	ان پٹ کے طور پر فراہم کردہ انٹیجرز کی ایک فہرست کا حل کیا فراہم کرتا ہے جسے ترتیب دیا جانا چاہئے؟	تعیناتی ترتیب دینے والے کس چیز پر غور کیا گیا تھا؟	تعیناتی ترتیب دینے والے کس چیز پر غور کیا گیا تھا؟
uqa_valid	<ans> بدترین صورت </ans> یہ ہے کہ جب ان پٹ کو ترتیب دیا جاتا ہے یا الٹ ترتیب میں ترتیب دیا جاتا ہے ، اور الگورتھم کو اس معاملے کے لئے وقت O(n2) لگتا ہے۔	جب پورے نمبروں کو ترتیب دینے کے لئے وسیع وقت کی ضرورت ہوتی ہے، تو یہ کس کیس کی پیچیدگی کی نمائندگی کرتا ہے؟	جب یہ ترتیب دیا جاتا ہے تو ان پٹ کو کیا ترتیب دیا جاتا ہے؟	جب یہ ترتیب دیا جاتا ہے تو ان پٹ کو کیا ترتیب دیا جاتا ہے؟
uqa_valid	<ans> بدترین </ans> معاملہ یہ ہے کہ جب ان پٹ کو ترتیب دیا جاتا ہے یا الٹ ترتیب میں ترتیب دیا جاتا ہے ، اور اس معاملے کے لئے الگورتھم وقت O (n2) لیتا ہے۔	جب پورے نمبروں کو ترتیب دینے کے لئے وسیع وقت کی ضرورت ہوتی ہے، تو یہ کس کیس کی پیچیدگی کی نمائندگی کرتا ہے؟	کیا یہ سچ ہے کہ ان پٹ ترتیب ترتیب ترتیب ترتیب ترتیب دیا جاتا ہے؟	جب یہ ترتیب دیا جاتا ہے تو ان پٹ کو کیا ترتیب دیا جاتا ہے؟
uqa_valid	بدترین صورت یہ ہے کہ جب ان پٹ کو ترتیب دیا جاتا ہے یا ریورس آرڈر میں ترتیب دیا جاتا ہے ، اور الگورتھم اس معاملے کے لئے وقت <ans> O(n2) </ans> لیتا ہے۔	وقت کی طرف سے اظہار کے طور پر ایک بدترین کیس پیچیدگی کی نشاندہی کرنے کے لئے استعمال کیا اظہار کیا ہے؟	جب ایک مادہ پٹ کو ترتیب دیا جاتا ہے تو کیا ہوتا ہے؟	جب ایک مادہ پٹ کو ترتیب دیا جاتا ہے تو کیا ہوتا ہے؟
uqa_valid	کسی خاص الگورتھم کا تجزیہ <ans> الگورتھم کے تجزیہ </ans> کے میدان میں آتا ہے۔	ایک مخصوص الگورتھم کا تجزیہ عام طور پر کمپیوٹیشنل سائنس کے کس شعبے کو تفویض کیا جاتا ہے؟	کسی خاص تجزیہ کے تجزیہ کے تجزیہ کے تجزیہ کے تجزیہ کے تجزیہ کے تجزیہ کے تجزیہ کے تجزیہ کا تجزیہ کس شعبے میں ہے؟	کسی خاص تجزیہ کا تجزیہ کس شعبے کے شعبے میں ہے؟
uqa_valid	حساب کتاب کے وقت (یا اسی طرح کے وسائل ، جیسے جگہ کی کھپت) کی درجہ بندی کرنے کے لئے ، کسی کو کسی دیئے گئے مسئلے کو حل کرنے والے سب سے زیادہ موثر الگورتھم کے ذریعہ درکار کم سے کم وقت پر اوپری اور <ans> نیچے کی حدود </ans> ثابت کرنے میں دلچسپی ہے۔	وقت کی کون سی حد قائم کرنا زیادہ مشکل ہے؟	کسی معاہدے کو حل کرنے کے مسئلے کو حل کرنے کے لئے کیا استعمال کیا جاتا ہے؟	کسی معاہدے کے مسئلے کو حل کرنے کے مسئلے کو حل کرنے کے لئے کیا استعمال کیا جاتا ہے؟
uqa_valid	تاہم ، <ans> نیچے </ans> حدود کو ثابت کرنا بہت زیادہ مشکل ہے ، کیونکہ نچلی حدود ایک دیئے گئے مسئلے کو حل کرنے والے تمام ممکنہ الگورتھم کے بارے میں بیان کرتی ہیں۔	وقت کی کون سی حد قائم کرنا زیادہ مشکل ہے؟	کون سا اصطلاح ایک مسئلے کو حل کرنے کے مسئلے کو حل کرنا مشکل بناتا ہے؟	کون سا دریا ایک مسئلے کو حل کرنے کے مسئلے کو حل کرنا مشکل بناتا ہے؟
uqa_valid	کسی مسئلے کی وقت کی پیچیدگی پر <ans> اوپری حد </ans> T(n) ظاہر کرنے کے لئے ، کسی کو صرف یہ ظاہر کرنے کی ضرورت ہے کہ ایک خاص الگورتھم ہے جس میں زیادہ سے زیادہ چلانے کا وقت T(n) ہے۔	T(n) کا مظاہرہ کرنے والا ایک مخصوص الگورتھم وقت کی پیچیدگی کی کس پیمائش کی نمائندگی کرتا ہے؟	کسی وقت کی کسی وقت کی وقت کی وقت کی وقت کی حد کیا ہے؟	کسی وقت کسی وقت کسی وقت کی وقت کی وقت کی وقت پر کیا اثر پڑتا ہے؟
uqa_valid	حساب کتاب کے وقت (یا اسی طرح کے وسائل ، جیسے جگہ کی کھپت) کی درجہ بندی کرنے کے لئے ، کسی کو کسی دیئے گئے مسئلے کو حل کرنے کے لئے سب سے زیادہ موثر الگورتھم کے ذریعہ درکار کم سے کم وقت پر <ans> اوپر اور نچلی حدود </ans> ثابت کرنے میں دلچسپی ہے۔	T(n) کا مظاہرہ کرنے والا ایک مخصوص الگورتھم وقت کی پیچیدگی کی کس پیمائش کی نمائندگی کرتا ہے؟	کسی حل کو حل کرنے کے مسئلے کو حل کرنے کے لئے سب سے کم مؤثر طریقے کیا ہے؟	کسی حل کو حل کرنے کے مسئلے کو حل کرنے کے لئے سب سے کم مؤثر طریقے کیا ہے؟
uqa_valid	تاہم ، نچلی حدود کو ثابت کرنا بہت زیادہ مشکل ہے ، کیونکہ نچلی حدود <ans> تمام ممکنہ الگورتھم </ans> کے بارے میں بیان کرتی ہیں جو کسی دیئے گئے مسئلے کو حل کرتے ہیں۔	وقت سے قطع نظر لامحدود دستیابی کے ساتھ الگورتھم کے تسلسل کو پہنچانے کے لئے استعمال ہونے والا عام جملہ کیا ہے؟	کس مسئلے کے مسئلے کو مسئلے مسئلے کو حل کرنے کے مسئلے کو حل کرنے کے مسئلے کو حل کرنے کے مسئلے کو حل کرنے کے مسئلے کو حل کرنے کے مسئلے کو حل کرنے کے مسئلے کو حل کرنے	کون حدود مجاز مسئلے کو حل کرتا ہے؟
uqa_valid	اوپری اور نچلی حدود کو عام طور پر <ans> بڑے او نوٹیشن </ans> کا استعمال کرتے ہوئے بیان کیا جاتا ہے ، جو مستقل عوامل اور چھوٹی شرائط کو چھپاتا ہے۔	عام طور پر اوپری یا نچلی حدود کو ظاہر کرنے کے لئے کون سا اظہار استعمال کیا جاتا ہے؟	ایک اور اور حدود کو کیا کہا جاتا ہے؟	ایک اور اصطلاح کیا ہے جس کی وجہ سے، اور دوسروں کو اکثر استعمال کیا جاتا ہے؟
uqa_valid	اوپری اور نچلی حدود کو عام طور پر بڑے او نوٹیشن کا استعمال کرتے ہوئے بیان کیا جاتا ہے ، جو <ans> مستقل عوامل اور چھوٹی شرائط </ans> کو چھپاتا ہے۔	ایک بڑا او نوٹیشن کیا چھپاتا ہے؟	کوئی اور او او کو کس چیز کو چھپاتا ہے؟	کون سے دو بڑے کھلاڑیوں کو عام طور پر بڑے پیمانے پر استعمال کیا جاتا ہے؟
uqa_valid	مثال کے طور پر ، اگر T(n) = 7n2 + 15n + 40 ، بڑے او نوٹیشن میں ایک <ans> T(n) = O(n2) </ans> لکھے گا۔	T(n) = 7n2 + 15n + 40 کو بڑے O نوٹیشن میں کیسے لکھا جائے گا؟	صوتی علامتوں کے لئے ایک اور اصطلاح کیا ہے؟	اگر آپ کو کم کیا جاتا ہے تو کیا ہوتا ہے؟
uqa_valid	اس سے حدود کو استعمال شدہ <ans> کمپیوٹیشنل ماڈل </ans> کی مخصوص تفصیلات سے آزاد بناتا ہے۔	بگ او نوٹیشن کس سے تعلق کے ساتھ اوپری اور نچلی حدود کو خودمختاری فراہم کرتا ہے؟	حدود کی حدود کو کس چیز سے آزاد کیا جاتا ہے؟	حدود کی حدود کو محدود کرنے کے لئے کون سا ماڈل استعمال کیا جاتا ہے؟
uqa_valid	اس سے حدود کو <ans> استعمال شدہ کمپیوٹیشنل ماڈل کی مخصوص تفصیلات </ans> سے آزاد بناتا ہے۔	بگ او نوٹیشن کس سے تعلق کے ساتھ اوپری اور نچلی حدود کو خودمختاری فراہم کرتا ہے؟	حدود کو محدود کرنے کے لئے استعمال ہونے والی اصطلاح کیا ہے؟	حدود کی حدود کو کس چیز سے آزاد کیا جاتا ہے؟
uqa_valid	یقینا ، کچھ <ans> پیچیدگی کی کلاسوں </ans> کی پیچیدہ تعریفیں ہیں جو اس فریم ورک میں فٹ نہیں ہیں۔	کیا پیچیدہ تعریفیں ہیں جو ایک فریم ورک میں درجہ بندی کو روکتی ہیں؟	کیا موجودہ کی خصوصیت کی تعریفیں ہیں؟	کس قسم کی کلاسوں کو مکمل طور پر بیان نہیں کیا جاتا ہے؟
uqa_valid	یقینا ، <ans> کچھ پیچیدگی کی کلاسوں </ans> کی پیچیدہ تعریفیں ہیں جو اس فریم ورک میں فٹ نہیں ہیں۔	کیا پیچیدہ تعریفیں ہیں جو ایک فریم ورک میں درجہ بندی کو روکتی ہیں؟	کیا ایک ایسے خصوصیت ہے جو فریم ورک میں نہیں ہے؟	کس قسم کی کلاسوں کی بنیاد رکھی گئی ہے؟
uqa_valid	یقینا ، کچھ پیچیدگی کی کلاسوں کی پیچیدہ تعریفیں ہیں جو اس <ans> فریم ورک </ans> میں فٹ نہیں ہیں۔	پیچیدگی کی کلاسوں کو عام طور پر کس میں درجہ بندی کیا جاتا ہے؟	کچھ پیچیدگیوں کی کلاسوں کی کلاسوں کی بنیادیں کس چیز میں نہیں ہیں؟	کچھ پیچیدگیوں میں کلاسوں کی کلاسوں کی بنیاد کیا ہے؟
uqa_valid	یقینا ، کچھ پیچیدگی کی کلاسوں میں <ans> پیچیدہ تعریفیں </ans> ہوتی ہیں جو اس فریم ورک میں فٹ نہیں ہوتی ہیں۔	پیچیدگی کی کلاسوں کے لئے ایک فریم ورک قائم کرنے میں دشواری کس متغیر کی وجہ سے ہوسکتی ہے؟	کچھ اسکالرز کی کلاسوں میں کیا ہوتا ہے؟	کچھ اضوں میں کلاسوں کی کلاسوں میں کیا ہوتی ہے؟
uqa_valid	یقینا ، کچھ پیچیدگی کی کلاسوں میں پیچیدہ <ans> تعریفیں </ans> ہوتی ہیں جو اس فریم ورک میں فٹ نہیں ہوتی ہیں۔	پیچیدگی کی کلاسوں کے لئے ایک فریم ورک قائم کرنے میں دشواری کس متغیر کی وجہ سے ہوسکتی ہے؟	کچھ خاضوں میں کلاسوں میں کیا ہوتا ہے؟	کچھ خاضوں میں کلاسوں کی کلاسوں میں کیا بیان کیا جاتا ہے؟
uqa_valid	لیکن کچھ کنکریٹ فنکشن f(n) کے ذریعہ مذکورہ بالا حساب کتاب کے وقت کو محدود کرنے سے اکثر پیچیدگی کی کلاسیں پیدا ہوتی ہیں جو <ans> منتخب شدہ مشین ماڈل </ans> پر منحصر ہوتی ہیں۔	حساب کتاب کے وقت کی ٹھوس حد اکثر پیچیدگی کی کلاسوں کی پیداوار کرتی ہے جو کس پر منحصر ہے؟	ایک ligntig کی طرف سے استعمال کیا جاتا ہے کہ کیا کیا جاتا ہے؟	کس قسم کے ماڈل ماڈل کو اپنی طرف متوجہ کرتے ہیں؟
uqa_valid	مثال کے طور پر ، زبان {xx | x کسی بھی بائنری سٹرنگ ہے} کو ملٹی ٹیپ ٹورنگ مشین پر <ans> لائنر ٹائم </ans> میں حل کیا جاسکتا ہے ، لیکن ضروری طور پر سنگل ٹیپ ٹورنگ مشینوں کے ماڈل میں مربع وقت کی ضرورت ہوتی ہے۔	ایک ملٹی ٹیپ ٹورنگ مشین ایک حل کے لئے کس قسم کے وقت کی ضرورت ہوتی ہے؟	ایک رگ angighang reng reng reng reng reng reng reng reng reng reng 	ایک رگ angighang reng reng reng reng reng نگ نگ نگ نگ نگ نگنگ نگنگ
uqa_valid	مثال کے طور پر ، زبان {xx | x کسی بھی بائنری تار ہے} کو ملٹی ٹیپ ٹورنگ مشین پر <ans> لینیئر </ans> وقت میں حل کیا جاسکتا ہے ، لیکن ضروری طور پر سنگل ٹیپ ٹورنگ مشینوں کے ماڈل میں مربع وقت کی ضرورت ہوتی ہے۔	ایک ملٹی ٹیپ ٹورنگ مشین ایک حل کے لئے کس قسم کے وقت کی ضرورت ہوتی ہے؟	ایک fixireted کیا جا سکتا ہے؟	اگر آپ کو ٹورنگ ٹورنگ میں استعمال کیا جا سکتا ہے تو اسے کیا کہا جاتا ہے؟
uqa_valid	مثال کے طور پر ، زبان {xx | x کسی بھی بائنری سٹرنگ ہے} کو ملٹی ٹیپ ٹورنگ مشین پر لکیری وقت میں حل کیا جاسکتا ہے ، لیکن ضروری طور پر <ans> سنگل ٹیپ ٹورنگ مشینوں </ans> کے ماڈل میں مربع وقت کی ضرورت ہوتی ہے۔	ایک زبان کو مربع وقت میں حل کرنے کے لئے کس قسم کی ٹورنگ مشین کا استعمال کرنا پڑتا ہے؟	ایک tor ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang ang 	بیک مشینرینگ کے ساتھ ساتھ ، کون سا ماڈلنگ مشین کے لئے ایک وقت کی ضرورت ہے؟
uqa_valid	مثال کے طور پر ، زبان {xx | x کسی بھی بائنری تار ہے} کو ملٹی ٹیپ ٹورنگ مشین پر لکیری وقت میں حل کیا جاسکتا ہے ، لیکن ضروری طور پر <ans> سنگل ٹیپ </ans> ٹورنگ مشینوں کے ماڈل میں مربع وقت کی ضرورت ہوتی ہے۔	ایک زبان کو مربع وقت میں حل کرنے کے لئے کس قسم کی ٹورنگ مشین کا استعمال کرنا پڑتا ہے؟	ایک رگ angixire کے ساتھ ساتھ، کون سا رنگ ماڈلنگ مشین کے ماڈل میں ایک وقت کی ضرورت ہے؟	کس قسم کے ٹورنگ مشین ماڈلنگ ماڈلنگ میں ماڈلنگ کی ضرورت ہوتی ہے؟
uqa_valid	اگر ہم رن ٹائم میں کثیر الجہتی تغیرات کی اجازت دیتے ہیں تو ، <ans> کوبھم-ایڈمنڈز تھیسس </ans> میں کہا گیا ہے کہ حساب کتاب کے کسی بھی دو معقول اور عام ماڈل میں وقت کی پیچیدگی کثیر الجہتی سے متعلق ہیں (گولڈریچ 2008 ، باب 1.	کون سا مقالہ اس بات کی وضاحت کرتا ہے کہ ایک کمپیوٹیشنل ماڈل میں وقت کی پیچیدگیوں کے اندر ایک کثیر الجہتی رشتہ موجود ہے؟	ایک ہم وقت کے وقت کے وقت کے وقت کے بارے میں کہا جاتا ہے کہ وہ کس کے ساتھ ہم آہنگ ہیں؟	ایک ہم وقت ہم وقت کی ایک مثال کیا ہے؟
uqa_valid	اگر ہم رن ٹائم میں کثیر الجہتی تغیرات کی اجازت دیتے ہیں تو ، <ans> کوبھم-ایڈمنڈز </ans> مقالہ میں کہا گیا ہے کہ حساب کتاب کے کسی بھی دو معقول اور عام ماڈل میں وقت کی پیچیدگی کثیر الجہتی سے متعلق ہے (گولڈریچ 2008 ، باب 1.	کون سا مقالہ اس بات کی وضاحت کرتا ہے کہ ایک کمپیوٹیشنل ماڈل میں وقت کی پیچیدگیوں کے اندر ایک کثیر الجہتی رشتہ موجود ہے؟	کون سا بیان کرتا ہے کہ کسی بھی ہم وقت کی ہم وقتجہ الجہتی ہے؟	کس نے کہا کہ حساب کتاب کے وقت کے بارے میں کوئیججتی ہے؟
uqa_valid	الگورتھم کے ذریعہ استعمال ہونے والے <ans> وقت یا جگہ </ans> کو محدود کرکے بہت سے اہم پیچیدگی کی کلاسوں کی وضاحت کی جاسکتی ہے۔	پیچیدگی کی کلاسوں کو قائم کرنے کے لئے الگورتھم کے اندر پیمائش کی دو مثالیں کیا ہیں؟	بہت سے اہم چیز کیا ہیں؟	بہت سے اہم پیچیدگیوں کو کیا محدود کیا جا سکتا ہے؟
uqa_valid	بہت سے اہم پیچیدگی کی کلاسوں کو الگورتھم کے ذریعہ استعمال ہونے والے وقت یا جگہ کو <ans> محدود </ans> کرکے بیان کیا جاسکتا ہے۔	کیا فنکشن وقت یا جگہ کی طرح پیمائش کی وضاحت کرنے کے لئے الگورتھم کی طرف سے استعمال کیا جاتا ہے؟	بہت سے اہم ڈھانچے کی جگہ کیا ہے؟	بہت سے اہم پیچیدگیوں کی جگہ کیا استعمال کی جا سکتی ہے؟
uqa_valid	بہت سے اہم <ans> پیچیدگی کی کلاسوں </ans> کو الگورتھم کے ذریعہ استعمال ہونے والے وقت یا جگہ کو محدود کرکے بیان کیا جاسکتا ہے۔	وقت اور جگہ کی حد بندی یا اسی طرح کی پیمائش اکثر کیا وضاحت کرنے کے لئے الگورتھم کی طرف سے استعمال کیا جاتا ہے؟	بہت سے اہم چیز کو کیا محدود کیا جاسکتا ہے؟	ایک اہم عنصر کیا ہے جو بہت سے جگہ کو محدود کرنے کے لئے استعمال کیا جا سکتا ہے؟
uqa_valid	دیگر اہم پیچیدگی کی کلاسوں میں <ans> بی پی پی ، زیڈ پی پی اور آر پی </ans> شامل ہیں ، جو ممکنہ ٹورنگ مشینوں کا استعمال کرتے ہوئے بیان کیے گئے ہیں۔	ممکنہ ٹورنگ مشینوں کے ذریعہ قائم کردہ تعریفوں سے وابستہ پیچیدگی کی کلاسوں کی تین مثالیں کیا ہیں؟	کون سے دو اہم مسائل نے مشینوں کی اصطلاحات کی وضاحت کی؟	کون سے دو دیگر تحریری کاموں میں ٹورنگ مشینوں کا استعمال کیا جا سکتا ہے؟
uqa_valid	اے سی اور این سی ، جو <ans> بولین </ans> سرکٹس کا استعمال کرتے ہوئے بیان کیے جاتے ہیں۔	AC اور NC پیچیدگی کی کلاسیں ہیں جو عام طور پر کس قسم کے سرکٹ سے وابستہ ہیں؟	سی سی اور این سی کس زبان کا استعمال کرتے ہیں؟	این سی اور این سی سی کس زبان کا استعمال کرتے ہیں؟
uqa_valid	اے سی اور این سی ، جو <ans> بولین سرکٹس </ans> کا استعمال کرتے ہوئے بیان کیے جاتے ہیں۔	AC اور NC پیچیدگی کی کلاسیں ہیں جو عام طور پر کس قسم کے سرکٹ سے وابستہ ہیں؟	این سی اور این سی سی کس زبان کا استعمال کرتے ہوئے محمد کے ساتھ مل کر سکتے ہیں؟	اے سی اور این سی سی کس زبان کا استعمال کرتے ہیں؟
uqa_valid	اور بی کیو پی اور کیو ایم اے ، جو <ans> کوانٹم </ans> ٹورنگ مشینوں کا استعمال کرتے ہوئے بیان کیے گئے ہیں۔	بی کیو پی اور کیو ایم اے پیچیدگی کی کلاسوں کی مثالیں ہیں جو عام طور پر کس قسم کی ٹورنگ مشین سے وابستہ ہیں؟	بیو اور اے پی اے کیوو کس قسم کا ٹورنگ استعمال کرتی ہے؟	کس قسم کی ٹورنگ مشین کا استعمال کیا جا سکتا ہے؟
uqa_valid	<ans> # پی </ans> گنتی کے مسائل (فیصلے کے مسائل نہیں) کی ایک اہم پیچیدگی کی کلاس ہے۔	گنتی کے مسائل کی پیچیدگی کی کلاس کی نمائندگی کرنے کے لئے کیا اظہار استعمال کیا جاتا ہے؟	کون سا پی سی اے کے مسائل کے مسائل کی ایک اہم خصوصیت ہے؟	چیک کے مسائل کی ایک اہم وجہ کیا ہے؟
uqa_valid	آئی پی اور اے ایم جیسے کلاسوں کی وضاحت <ans> انٹرایکٹو </ans> ثبوت سسٹم کا استعمال کرتے ہوئے کی گئی ہے۔	IP اور AM سب سے زیادہ عام طور پر کس قسم کے ثبوت کے نظام کی طرف سے بیان کیا جاتا ہے؟	آئی پی اور ایم پی ایم کی وضاحت کس قسم کی کیپٹل کے نظام کی وضاحت کرتی ہے؟	آئی پی اے کی کلاسوں کی وضاحت کرنے کے لئے کیا استعمال کیا گیا ہے؟
uqa_valid	خاص طور پر ، اگرچہ DTIME(n) <ans> DTIME(n2) </ans> میں موجود ہے ، یہ جاننا دلچسپ ہوگا کہ کیا شمولیت سخت ہے۔	کس اظہار میں کسی کو DTIME(n) تلاش کرنے کی توقع کی جا سکتی ہے	DIIIEI کس قسم کی حیاتیات میں موجود ہے؟	DIIIDI کہاں پایا جاتا ہے؟
